state, x, y
São Paulo,70.00,-140.00
Paraná,20.00,-180.00
Santa Catarina,50.00,-230.00
Rio Grande Do Sul,-10.00,-270.00
Mato Grosso Do Sul,-10.00,-110.00
Rondônia,-150.00,70.00
Acre,-260.00,80.00
Amazonas,-170.00,180.00
Roraima,-120.00,290.00
Pará,30.00,160.00
Amapá,50.00,280.00
Tocantins,110.00,60.00
Maranhão,160.00,160.00
Rio Grande Do Norte,310.00,130.00
Paraíba,320.00,100.00
Pernambuco,300.00,80.00
Alagoas,310.00,60.00
Sergipe,290.00,40.00
Bahia,210.00,20.00
Minas Gerais,160.00,-90.00
Rio De Janeiro,180.00,-160.00
Mato Grosso,-20.00,20.00
Goiás,60.00,-50.00
Distrito Federal,100.00,-30.00
Piauí,200.00,100.00
Ceará,260.00,150.00
Espírito Santo,220.00,-110.00